county_fips,state_name_24,county_name_24,votes_gop_24,votes_dem_24,total_votes_24,diff_24,per_gop_24,per_dem_24,trump_24,bell_24,state_name,county_name,votes_gop_20,votes_dem_20,total_votes_20,diff_20,per_gop_20,per_dem_20,trump_20,bell_20,GEOID,votes_dem_16,votes_gop_16,total_votes_16,per_dem_16,per_gop_16,diff_16,trump_16,bell_16,bellweather,pop_vote_bell,bell_20_24,change,change_20_24,statefips
1001,Alabama,Autauga County,20484,7439,28190,13045,0.7266406527137282,0.2638879035118836,1,1,Alabama,Autauga County,19838,7503,27770,12335,0.714368023046453,0.27018365142239825,1,0,01001,5908,18110,24661,0.239568549532,0.734357893029,12202,1,1,0,1,0,0,0,1
1003,Alabama,Baldwin County,95798,24934,121808,70864,0.7864672271115197,0.20469919873899908,1,1,Alabama,Baldwin County,83544,24578,109679,58966,0.7617137282433283,0.22409029987509005,1,0,01003,18409,72780,94090,0.195653098098,0.773514719949,54371,1,1,0,1,0,0,0,1
1005,Alabama,Barbour County,5606,4158,9832,1448,0.5701790073230268,0.4229048006509357,1,1,Alabama,Barbour County,5622,4816,10518,806,0.5345122646891044,0.4578817265639856,1,0,01005,4848,5431,10390,0.466602502406,0.522714148219,583,1,1,0,1,0,0,0,1
1007,Alabama,Bibb County,7572,1619,9241,5953,0.8193918407098799,0.1751974894491938,1,1,Alabama,Bibb County,7525,1986,9595,5539,0.7842626367899947,0.20698280354351223,1,0,01007,1874,6733,8748,0.214220393233,0.769661636946,4859,1,1,0,1,0,0,0,1
1009,Alabama,Blount County,25354,2576,28115,22778,0.9017961942023832,0.09162368842255024,1,1,Alabama,Blount County,24711,2640,27588,22071,0.8957155284906481,0.09569377990430622,1,0,01009,2150,22808,25384,0.0846990230066,0.89851875197,20658,1,1,0,1,0,0,0,1
1011,Alabama,Bullock County,1101,2983,4106,-1882,0.2681441792498782,0.7264978080857282,0,0,Alabama,Bullock County,1146,3446,4613,-2300,0.24842835464990248,0.7470192933015392,0,1,01011,3530,1139,4701,0.750904062965,0.242288874708,2391,0,0,0,1,0,0,0,1
1013,Alabama,Butler County,5172,3251,8467,1921,0.6108420928309909,0.3839612613676627,1,1,Alabama,Butler County,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,1,0,01013,3716,4891,8685,0.427864133564,0.563154864709,1175,1,1,0,1,0,0,0,1
1015,Alabama,Calhoun County,34912,13194,48530,21718,0.7193900679991758,0.2718730682052339,1,1,Alabama,Calhoun County,35101,15216,50983,19885,0.6884843967597042,0.29845242531824334,1,0,01015,13197,32803,47376,0.278558763931,0.692396994259,19606,1,1,0,1,0,0,0,1
1017,Alabama,Chambers County,8711,5405,14221,3306,0.6125448280711624,0.38007172491385977,1,1,Alabama,Chambers County,8753,6365,15284,2388,0.5726903951845067,0.4164485736718137,1,0,01017,5763,7803,13778,0.418275511685,0.566337639715,2040,1,1,0,1,0,0,0,1
1019,Alabama,Cherokee County,11358,1553,12984,9805,0.8747689463955638,0.11960874922982132,1,1,Alabama,Cherokee County,10583,1624,12301,8959,0.8603365580034144,0.13202178684659785,1,0,01019,1524,8809,10503,0.1451013996,0.838712748738,7285,1,1,0,1,0,0,0,1
